id;date;treatments_categories_id;top_id;treatments;treatments_tr;treatments_de;treatments_ru;description;description_tr;description_de;description_ru;picture;average_length_of_stay;average_length_of_stay_tr;average_length_of_stay_de;average_length_of_stay_ru;length_of_stay_hospital;length_of_stay_hospital_tr;length_of_stay_hospital_de;length_of_stay_hospital_ru;operation_duration;operation_duration_tr;operation_duration_de;operation_duration_ru;anesthesia;anesthesia_tr;anesthesia_de;anesthesia_ru;recovery_duration;recovery_duration_tr;recovery_duration_de;recovery_duration_ru;google_title;google_title_tr;google_title_de;google_title_ru;google_desc;google_desc_tr;google_desc_de;google_desc_ru;hit;hit_tr;hit_de;hit_ru;more_hit;more_hit_tr;more_hit_de;more_hit_ru;url;url_tr;url_de;url_ru
1;17.05.2019 00:00;1;;Acupressure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;acupressure-1;;;
2;17.05.2019 00:00;1;;Acupuncture Treatment;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;acupuncture-treatment-2;;;
3;17.05.2019 00:00;1;;Acupuncturist Consultation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;acupuncturist-consultation-3;;;
4;17.05.2019 00:00;1;;Auricular Acupuncture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;auricular-acupuncture-4;;;
5;17.05.2019 00:00;1;;Dry Needling;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;dry-needling-5;;;
6;13.07.2019 07:22;1;;Electro-Acupuncture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;1;1;1;1;1;1;1;electro-acupuncture-6;;;
7;17.05.2019 00:00;1;;Fertility Acupuncture;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;fertility-acupuncture-7;;;
8;17.05.2019 00:00;2;;Bariatric Surgery Consultation;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;bariatric-surgery-consultation-8;;;
9;17.05.2019 00:00;2;;Biliopancreatic Diversion;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;biliopancreatic-diversion-9;;;
10;17.05.2019 00:00;2;;Duodenal Switch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;duodenal-switch-10;;;
11;17.05.2019 00:00;2;;EndoBarrier(TM) Gastrointestinal Liner;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;1;1;1;1;1;endobarrier-gastrointestinal-liner-11;;;
